itemNumber,name,chineseName,description,Price,quantity,mainCategory,categories,vegetarian
128,Mixed Vegetable Fried Rice,什菜炒飯,,5,,Rice,"Rice,Vegetarian",TRUE
129,Singapore Style Fried Rice,星州炒飯,,5.1,,Rice,"Rice,Seafood,Pork",FALSE
130,Egg Fried Rice,蛋炒飯,,2.5,,Rice,"Rice,Vegetarian",TRUE
131,Boiled Rice,白飯,,2,,Rice,"Rice,Vegetarian",TRUE
132,House Special Chow Mein,招牌炒麵,Dry,5.6,,ChowMein,"ChowMein,Chicken,Beef,Pork,Seafood",FALSE
133,Roast Pork Chow Mein,叉燒炒麵,Dry,5.2,,ChowMein,"ChowMein,Pork",FALSE
134,Chicken Chow Mein,雞炒麵,Dry,5.2,,ChowMein,"ChowMein,Chicken",FALSE
135,Beef Chow Mein,牛炒麵,Dry,5.2,,ChowMein,"ChowMein,Beef",FALSE
136,Duck Chow Mein,鴨炒麵,Dry,5.4,,ChowMein,"ChowMein,Duck",FALSE
137,King Prawn Chow Mein,大蝦炒麵,Dry,5.4,,ChowMein,"ChowMein,Seafood",FALSE
138,Mixed Vegetable Chow Mein,什菜炒麵,Dry,5,,ChowMein,"ChowMein,Vegetarian",TRUE
139,Plain Chow Mein (with Beanprouts),銀芽炒麵,Dry,3,,ChowMein,"ChowMein,Vegetarian",TRUE
140,House Special Chow Mein,招牌炒麵 (蠔油汁),In Oyster Sauce,5.7,,ChowMein,"ChowMein,Chicken,Beef,Pork,Seafood",FALSE
141,Roast Pork Chow Mein,叉燒炒麵 (蠔油汁),In Oyster Sauce,5.1,,ChowMein,"ChowMein,Pork",FALSE
142,Chicken Chow Mein,雞炒麵 (蠔油汁),In Oyster Sauce,5.1,,ChowMein,"ChowMein,Chicken",FALSE
143,Beef Chow Mein,牛炒麵 (蠔油汁),In Oyster Sauce,5.2,,ChowMein,"ChowMein,Beef",FALSE
144,Duck Chow Mein,鴨炒麵 (蠔油汁),In Oyster Sauce,5.6,,ChowMein,"ChowMein,Duck",FALSE
145,King Prawn Chow Mein,大蝦炒麵 (蠔油汁),In Oyster Sauce,5.6,,ChowMein,"ChowMein,Seafood",FALSE
146,House Special Chow Mein,招牌炒麵 (沙爹汁),In Satay Sauce,5.7,,ChowMein,"ChowMein,Chicken,Beef,Pork,Seafood",FALSE
147,Roast Pork Chow Mein,叉燒炒麵  (沙爹汁),In Satay Sauce,5.1,,ChowMein,"ChowMein,Pork",FALSE
